liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
"Sur place";53304;"Ma Première Aventure - Au Vol-Oeuf !";;2021;basegame;9782956296362;17,9;Solo;30;4+;français;;"Ma première Aventure";"Livre jeu";Exploration;Exploration;"Game Flow";"Jean-Philippe Sahut";"Elodie Bénard"
"Sur place";25534;"Ma Première Aventure - En Quête du Dragon";;2018;basegame;9782956296300,9782956296393;18;"1 — 2";15;"4 — 9";français;;"Ma première Aventure";"Livre dont vous êtes le héros,Livre jeu";Aventure,Dragons,Exploration;"Choix multiples,Coopération,Exploration,Narration,Roleplay";"Game Flow";"Roméo Hennion";"Arnaud Boutle"
"Sur place";43331;"Ma Première aventure - La course des Casse-Tout";;2020;basegame;9782956296348;17,9;Solo;30;4+;français;;"Ma première Aventure";"Livre dont vous êtes le héros,Livre jeu";"Automobile,Aventure,Transport & voyage";"Choix multiples,Exploration,Narration,Scénarios";"Game Flow";"Quentin Guidotti,Roméo Hennion";Achile
"Sur place";28908;"Ma Première Aventure - La Découverte de l'Atlantide";;2019;basegame;9782492939020,9782956296317;17,9;"1 — 2";30;"4 — 10";français;;"Ma première Aventure";"Livre dont vous êtes le héros";Atlantide,Exploration,Océan;"Choix multiples,Exploration,Narration,Scénarios";"Game Flow";"Roméo Hennion";"Jade Mosch"
"Sur place";33068;"Ma Première Aventure - L'Odyssée du Phobos";;2019;basegame;9782956296324;18;"1 — 2";15;"4 — 10";français;;"Ma première Aventure";"Livre dont vous êtes le héros";Espace;Coopération,Exploration,Narration;"Game Flow";"Roméo Hennion";"Arnaud Boutle"
"Sur place";37566;"Ma Première Aventure - Voyage en terre ocre";;2020;basegame;9782492939082,9782956296331;18;"1 — 2";15;"4 — 10";français;;"Ma première Aventure";"Livre dont vous êtes le héros";Afrique,Exploration;Coopération,Exploration,Narration;"Game Flow";"Mathilde Malburet";"Thibaut Kraeber"
"Sur place";58001;"Ma Première Aventure - Sur la Piste du Dahu";;2022;basegame;9782492939075,9782956296379;17,9;"1 — 2";30;4+;français;;"Ma première Aventure";"Livre dont vous êtes le héros";Exploration;"Choix multiples,Narration,Scénarios,Solo";"Game Flow";"Anthony Moulins";"Davy Bernard"
"Petite Enfance";10928;Bata-Waf;;2007;basegame;3070900051041;8,99;"2 — 4";15;3+;français;;"Mini Djeco";"Jeu de Cartes";Animaux,Chiens;Plis;Djeco;;"Eric Héliot"
Famille;31732;"Uno Flip!";;2019;basegame;0887961751062;12,99;"2 — 10";30;7+;français,anglais,allemand,espagnol,italien,néerlandais;;Uno;"Jeu de Cartes";Chiffres,Couleurs;Défausse,Pioche;Mattel;"Merle Robbins";
Enfance;27651;Triomonsters;;2016;basegame;3070900051874;12;"2 — 5";15;"6 — 12";français;;;;"Monstres & Créatures";Stratégie;;"Jean-Jacques Derghazarian";"Régis Lejonc"
